iter,D_sim
0,0.0114843
0,0.0133037
0,0.0154104
0,0.0178498
0,0.0206746
0,0.0239458
0,0.0277339
0,0.0321207
0,0.037201
0,0.0430843
0,0.0498977
0,0.0577881
0,0.0669261
0,0.0775087
0,0.0897644
0,0.103958
0,0.120395
0,0.139431
0,0.161477
0,0.187008
0,0.216576
0,0.250819
0,0.290475
0,0.336401
0,0.389588
0,0.451183
0,0.522516
0,0.605127
0,0.700797
0,0.81159
0,0.939898
0,1.08849
0,1.26056
0,1.45984
0,1.69061
0,1.95786
0,2.26733
0,2.62571
0,3.04072
0,3.52129
0,4.07624
0,4.7102
0,5.42265
0,6.21402
0,7.08272
0,8.02453
0,9.03197
0,10.0956
0,11.2047
0,12.348
0,13.5091
0,14.67
0,15.8089
0,16.9024
0,17.928
0,18.8659
0,19.6994
0,20.4224
0,21.0329
0,21.5373
0,21.947
0,22.2749
0,22.5331
0,22.7323
0,22.8824
0,22.9938
0,23.0769
0,23.1409
0,23.1947
0,23.2471
0,23.304
0,23.3696
0,23.4479
0,23.5442
0,23.6653
0,23.8115
0,23.9774
0,24.1501
0,24.3074
0,24.4342
0,24.5202
0,24.5591
0,24.5533
0,24.5112
0,24.4502
0,24.3979
0,24.3733
0,24.3871
0,24.4465
0,24.5474
0,24.6862
0,24.8592
0,25.0631
0,25.2964
0,25.5579
0,25.8454
0,26.1671
0,26.531
0,26.9454
0,27.4177
0,27.953
0,28.5579
0,29.2387
0,30.0118
0,30.9
0,31.9302
0,33.1335
0,34.5442
0,36.1938
0,38.1201
1,0.0148252
1,0.0170884
1,0.0196961
1,0.022701
1,0.0261635
1,0.0301534
1,0.0347512
1,0.0400495
1,0.046155
1,0.0531909
1,0.061299
1,0.0706425
1,0.0814099
1,0.0938182
1,0.108117
1,0.124596
1,0.143585
1,0.165469
1,0.190687
1,0.219748
1,0.253238
1,0.291832
1,0.336308
1,0.38756
1,0.446623
1,0.514687
1,0.593122
1,0.683509
1,0.787669
1,0.9077
1,1.04602
1,1.20541
1,1.38909
1,1.60075
1,1.84466
1,2.12571
1,2.44958
1,2.82277
1,3.25279
1,3.74828
1,4.31774
1,4.96554
1,5.69106
1,6.49445
1,7.3739
1,8.32502
1,9.34033
1,10.4104
1,11.5246
1,12.6717
1,13.8358
1,14.9994
1,16.1418
1,17.2404
1,18.2738
1,19.223
1,20.0717
1,20.8136
1,21.4463
1,21.9746
1,22.4086
1,22.7597
