iter,D_sim
0,0.0182215
0,0.0230779
0,0.029228
0,0.0370165
0,0.0468798
0,0.0593707
0,0.0751895
0,0.0952228
0,0.120593
0,0.152723
0,0.193413
0,0.244944
0,0.310204
0,0.39285
0,0.497515
0,0.630065
0,0.797929
0,1.01051
0,1.27973
0,1.62067
0,2.05244
0,2.59922
0,3.29165
0,4.16853
0,5.27895
0,6.68512
0,8.46571
0,10.7204
0,13.5752
0,17.1887
0,21.7603
0,27.5438
0,34.848
0,44.0672
0,55.7026
0,70.396
0,88.9622
0,112.417
0,141.989
0,179.099
0,225.151
0,280.901
0,345.966
0,419.11
0,497.954
0,578.873
0,657.162
0,728.203
0,788.982
0,838.283
0,875.992
0,902.64
0,919.123
0,926.69
0,926.59
0,920.048
0,908.197
0,891.882
0,871.728
0,848.231
0,821.813
0,792.995
0,762.348
0,730.427
0,697.797
0,665
0,632.536
0,600.716
0,569.601
0,539.278
0,509.841
0,481.321
0,453.801
0,427.345
0,402.067
0,378.115
0,355.531
0,334.288
0,314.365
0,295.711
0,278.264
0,261.962
0,246.739
0,232.523
0,219.263
0,206.912
0,195.422
0,184.752
0,174.878
0,165.712
0,157.226
0,149.421
0,142.315
0,135.919
0,130.234
0,125.243
0,120.966
0,117.366
0,114.364
0,111.926
0,110.023
0,108.64
0,107.755
0,107.356
0,107.444
0,108.049
0,109.202
0,110.956
0,113.37
0,116.53
1,0.0331082
1,0.0413057
1,0.0515322
1,0.0642898
1,0.0802053
1,0.10006
1,0.12483
1,0.155731
1,0.194281
1,0.242373
1,0.302369
1,0.377217
1,0.470592
1,0.587079
1,0.732401
1,0.913693
1,1.13986
1,1.422
1,1.77398
1,2.21308
1,2.76085
1,3.44418
1,4.29662
1,5.36
1,6.68649
1,8.34115
1,10.4051
1,12.9795
1,16.1903
1,20.1937
1,25.1831
1,31.4006
1,39.1365
1,48.7553
1,60.714
1,75.589
1,94.1015
1,117.137
1,145.747
1,181.126
1,224.42
1,276.189
1,336.004
1,402.705
1,474.188
1,547.352
1,618.246
1,683.013
1,739.087
1,785.356
1,821.616
1,848.212
1,865.814
1,875.397
1,877.963
1,874.517
1,866.006
1,853.168
1,836.569
1,816.68
1,793.908
1,768.729
1,741.655
1,713.181
1,683.807
1,654.013
1,624.244
1,594.799
1,565.781
1,537.309
1,509.493
1,482.395
1,456.109
1,430.708
1,406.303
1,383.022
1,360.917
1,339.982
1,320.214
1,301.583
1,284.049
1,267.567
1,252.091
1,237.565
1,223.949
1,211.203
1,199.286
1,188.163
1,177.809
1,168.154
1,159.169
1,150.848
1,143.195
1,136.212
1,129.893
1,124.219
1,119.197
1,114.795
1,110.949
1,107.626
1,104.798
1,102.445
1,100.544
1,99.0765
1,98.0364
1,97.4348
1,97.2856
1,97.6162
1,98.4592
1,99.8637
2,0.0318307
2,0.0396229
2,0.049321
2,0.0613916
2,0.0764149
2,0.0951136
2,0.118387
2,0.147354
2,0.183407
2,0.228281
2,0.284134
2,0.353651
2,0.440175
2,0.547868
2,0.681907
2,0.848738
2,1.05638
2,1.31483
2,1.63649
2,2.03684
2,2.53513
2,3.15529
2,3.92714
2,4.88776
2,6.08329
2,7.57114
2,9.42272
2,11.7268
2,14.594
2,18.1606
2,22.5955
2,28.1093
2,34.9546
2,43.4474
2,53.9822
2,67.0552
2,83.2853
2,103.431
2,128.394
2,159.201
2,196.853
2,241.894
2,294.079
2,352.554
2,415.684
2,480.988
2,545.261
2,605.292
2,658.815
2,704.673
2,742.438
2,772.149
2,794.144
2,809.043
2,817.536
2,820.352
2,818.212
2,811.705
2,801.315
