Country_code,GDP Per Capita
AF,508.4537219370937
AL,5180.914197603914
DZ,3367.963002897193
AD,37072.40538437008
AO,1895.77070283724
AI,17225.937528543673
AG,13993.320179434608
AR,8475.72958198985
AM,4266.005478647835
AW,23385.63867077555
AU,55822.712845306814
AT,48105.6319825656
AZ,4202.232239420245
BS,25194.28919703797
BH,19925.001598956664
BD,2000.64015719419
BB,15449.23700217486
BY,6377.055431709857
BE,45028.3234050509
BZ,3987.7263937650255
BJ,1254.2125894760816
BM,123944.90690131349
BT,3217.962934532781
BO,3133.1019504554583
BA,6035.475568574754
BW,6710.960147003652
BR,6796.844058079729
VG,49357.193079951045
BN,27436.74151451828
BG,10058.077407168154
BF,830.9253368674027
BI,285.8757818320359
CV,3064.2765459185825
KH,1512.7282884995325
CM,1502.3280624659778
CA,43559.71009183143
KY,95190.93250591682
CF,481.016461953413
TD,679.0672838447488
CL,13231.709642446
CO,5332.772790492891
KM,1420.6519050235331
CG,1830.3824909765367
CK,16134.97794832918
CR,12076.805960805756
HR,13934.241955392894
CU,9477.852873267708
CW,15819.210502206355
CY,28133.071158911906
CZ,22910.62893736197
KP,617.8872354684589
CD,505.883923589688
DK,61476.5969290503
DJ,3465.0387134928164
DM,7037.685311238502
DO,7268.188603368776
EC,5600.391519518106
EG,3608.842255912799
SV,3798.63470103088
GQ,7143.238101779871
ER,587.6141957524951
EE,23105.5233911819
ET,840.3619300619628
FJ,5013.230983352223
FI,48685.24539310332
FR,38958.60341858012
PF,20707.452773743946
GA,6789.39263219054
GM,757.4124410968548
GE,3983.689756372116
DE,45908.72471306861
GH,2205.5260862679334
GR,18117.07025847801
GL,55138.5698779367
GD,9272.883756111096
GT,4331.686958201699
GN,1179.4888901616227
GW,668.190170586211
GY,6956.0194153894845
HT,1359.802536371033
HN,2405.7349973393257
HU,16128.651664777732
IS,63644.018266178
IN,1930.9712179272171
ID,3869.588520468482
IQ,4145.863967108482
IE,86250.9941527383
IL,47033.58654720191
IT,31238.048346199077
JM,4664.519717868851
JP,39989.72550873827
JO,4282.721671458157
KZ,9111.410500618287
KE,1878.581192410306
KI,1514.569464040255
KW,24809.03962857007
KG,1185.730192779862
LA,2622.757639657728
LV,17870.510315620944
LB,9310.161925452136
LS,1061.2657146272384
LR,490.5191238830602
LY,4242.767173592811
LI,180227.1319918258
LT,20771.842179684525
LU,117181.64662928664
MG,469.7663094971878
MW,614.8676047124184
MY,10401.793199213476
MV,6924.093846665804
ML,855.8631880752688
MT,33770.79012174075
MH,4130.130900489948
MR,1702.4876914738516
MU,8586.942672430507
MX,8325.571217570461
FM,3499.8632186606155
MC,173695.77238077967
MN,4007.311279513549
ME,7625.72201655034
MS,13523.118471035135
MA,3108.1753735798206
MZ,448.8438913493196
MM,1291.7489681863267
,4215.170140519006
NR,12510.366255528914
NP,1135.2879571686306
NL,53333.65757210709
NC,34006.32519721463
NZ,43972.13057263752
NI,1905.255197227147
NE,567.6696968082781
NG,2085.474060988676
NO,66870.73072574414
OM,12408.898139899373
PK,1167.216495739256
PW,14566.909638554216
PA,12269.04587571009
PG,2639.8831747310564
PY,4949.744130174471
PE,6162.698252283082
PH,3298.83006215503
PL,15764.10582986111
PT,22413.0398391619
PR,36051.590207536006
QA,50814.9344504966
KR,31946.98251074362
MD,2953.5108841121933
RO,12928.580656306674
RU,10165.50596704888
RW,797.7054034701089
KN,17433.63318580898
LC,8804.664205558409
VC,7298.372827487664
WS,3889.9973617222568
SM,45832.19904812271
ST,2174.0479183198017
SA,20110.31531851964
SN,1457.9907269663006
RS,7655.695884860914
SC,10766.786689046505
SL,474.6920622190446
SG,58114.24534726117
SK,19263.637522674413
SI,25777.39671924313
SB,2250.563756866684
SO,117.85887088943343
ZA,5094.384037931281
SS,1420.7104339345572
ES,27408.63490023593
LK,3767.606654688218
SD,1415.2434481851312
SR,7022.767222801033
SE,53574.55263721811
CH,86918.64829337553
SY,889.8152469196704
TJ,838.4510157622537
TH,7189.047988729098
GB,40718.22181399121
TL,1442.7274668264508
TG,863.1447298940684
TO,4646.106308415562
TT,15285.97325432979
TN,3318.333356319693
TR,8538.131925699501
TM,7103.921926458605
TC,23880.54343053439
TV,4648.342103924311
UG,846.1164807445148
UA,3557.477355642111
AE,36284.54790563104
US,63122.59414502393
UY,15438.401394840388
UZ,1724.1877480418982
VU,2783.0296441711107
VE,3740.28736114037
VN,2785.7242253139952
YE,937.3827450953326
ZM,985.1327876282384
ZW,1465.8450542437006
