Country_code,pop2020
CN,1439323776.0
IN,1380004385.0
US,331002651.0
ID,273523615.0
PK,220892340.0
NG,206139589.0
BR,212559417.0
BD,164689383.0
RU,145934462.0
MX,128932753.0
JP,126476461.0
ET,114963588.0
PH,109581078.0
EG,102334404.0
VN,97338579.0
CD,89561403.0
IR,83992949.0
TR,84339067.0
DE,83783942.0
TH,69799978.0
GB,67886011.0
FR,65273511.0
TZ,59734218.0
ZA,59308690.0
IT,60461826.0
KE,53771296.0
MM,54409800.0
CO,50882891.0
KR,51269185.0
UG,45741007.0
ES,46754778.0
AR,45195774.0
SD,43849260.0
DZ,43851044.0
UA,43733762.0
IQ,40222493.0
AF,38928346.0
CA,37742154.0
MA,36910560.0
PL,37846611.0
SA,34813871.0
AO,32866271.999999996
UZ,33469203.0
PE,32971854.0
MY,32365999.0
MZ,31255435.0
GH,31072940.0
YE,29825964.0
NP,29136808.0
VE,28435940.0
MG,27691018.0
CM,26545863.0
CI,26378274.0
NE,24206644.0
AU,25499884.0
KP,25778816.0
TW,23816775.0
BF,20903273.0
LK,21413249.0
ML,20250833.0
MW,19129952.0
ZM,18383955.0
SY,17500658.0
CL,19116201.0
KZ,18776707.0
RO,19237691.0
GT,17915568.0
EC,17643054.0
SN,16743927.0
TD,16425864.000000002
NL,17134872.0
KH,16718965.0
SO,15893222.0
ZW,14862924.0
GN,13132795.0
RW,12952218.0
BJ,12123200.0
BI,11890784.0
TN,11818619.0
BO,11673021.0
HT,11402528.0
BE,11589623.0
SS,11193725.0
CU,11326616.0
DO,10847910.0
CZ,10708981.0
GR,10423054.0
JO,10203134.0
AZ,10139177.0
HN,9904607.0
SE,10099265.0
PT,10196709.0
AE,9890402.0
TJ,9537645.0
HU,9660351.0
BY,9449323.0
PG,8947024.0
AT,9006398.0
IL,8655535.0
CH,8654622.0
TG,8278724.0
RS,8737371.0
SL,7976983.0
HK,7496981.0
LA,7275560.0
PY,7132538.0
LY,6871292.0
BG,6948445.0
NI,6624554.0
KG,6524195.0
LB,6825445.0
SV,6486205.0
TM,6031200.0
SG,5850342.0
DK,5792202.0
CG,5518087.0
FI,5540720.0
NO,5421241.0
SK,5459642.0
PS,5101414.0
OM,5106626.0
LR,5057681.0
CR,5094118.0
IE,4937786.0
CF,4829767.0
MR,4649658.0
NZ,4822233.0
PA,4314767.0
KW,4270571.0
HR,4105267.0
MD,4033963.0
GE,3989167.0
ER,3546421.0
UY,3473730.0
MN,3278290.0
BA,3280819.0
JM,2961167.0
QA,2881053.0
AM,2963243.0
AL,2877797.0
PR,2860853.0
LT,2722289.0
,2540905.0
GM,2416668.0
BW,2351627.0
GA,2225734.0
LS,2142249.0
MK,2083373.9999999998
SI,2078938.0
GW,1968001.0
LV,1886198.0
BH,1701575.0
GQ,1402985.0
TT,1399488.0
TL,1318445.0
EE,1326535.0
MU,1271768.0
CY,1207359.0
SZ,1160164.0
DJ,988000.0
FJ,896445.0
RE,895312.0
KM,869601.0
GY,786552.0
BT,771608.0
SB,686884.0
MO,649335.0
LU,625978.0
ME,628066.0
EH,597339.0
SR,586632.0
CV,555987.0
MV,540544.0
BN,437479.0
MT,441543.0
BZ,397628.0
BS,393244.0
GP,400124.0
MQ,375265.0
IS,341243.0
VU,307145.0
GF,298682.0
NC,285498.0
BB,287375.0
YT,272815.0
PF,280908.0
ST,219159.0
WS,198414.0
LC,183627.0
GU,168775.0
CW,164093.0
KI,119449.0
FM,115023.0
GD,112523.0
VC,110940.0
TO,105695.0
AW,106766.0
VI,104425.0
AG,97929.0
SC,98347.0
IM,85033.0
AD,77265.0
DM,71986.0
KY,65722.0
BM,62278.0
MH,59190.0
MP,57559.0
GL,56770.0
AS,55191.0
KN,53199.0
FO,48863.0
SX,42876.0
MC,39242.0
TC,38717.0
MF,38666.0
LI,38128.0
SM,33931.0
GI,33691.0
VG,30231.0
PW,18094.0
CK,17564.0
AI,15003.0
TV,11792.0
WF,11239.0
NR,10824.0
BL,9877.0
PM,5794.0
MS,4992.0
FK,3480.0
NU,1626.0
TK,1357.0
VA,801.0
